MSNO,total_dur,PostalCode,lat,long,address
4157301,10800.0,600021,1.32368064923943,103.739156156511,21 TEBAN GARDENS ROAD TEBAN VISTA SINGAPORE 600021
4157601,9000.0,600034,1.31987963533782,103.741754021124,34 TEBAN GARDENS ROAD SINGAPORE 600034
4157601,9000.0,600034,1.31987963533782,103.741754021124,34 TEBAN GARDENS ROAD SINGAPORE 600034
4158301,5850.0,640187,1.34505773588933,103.710699802755,187 BOON LAY AVENUE BOON LAY VISTA SINGAPORE 640187
4158501,6300.0,641217,1.34975768459224,103.711296415279,217A BOON LAY AVENUE BOON LAY VIEW SINGAPORE 641217
4159201,4680.0,640261,1.34559270009436,103.70789526133,261 BOON LAY DRIVE BOON LAY CREST SINGAPORE 640261
4159501,1560.0,640209,1.34625797211644,103.715154716629,209 BOON LAY PLACE BOON LAY PLACE SINGAPORE 640209
4159601,1890.0,640210,1.34764592847862,103.7129331836,210 BOON LAY PLACE DBS SPF BOON LAY SINGAPORE 640210
4159701,1560.0,640213,1.34945934187377,103.712840315508,213 BOON LAY PLACE BOON LAY PLACE SINGAPORE 640213
4160101,2000.0,610114,1.33378944321337,103.72411125115,114 HO CHING ROAD SINGAPORE 610114
4160202,32400.0,610115,1.33367081421694,103.724659608331,115 HO CHING ROAD SINGAPORE 610115
4160301,3600.0,610116,1.3348098788008,103.723257417625,116 HO CHING ROAD SINGAPORE 610116
4161503,360.0,640695,1.34256318025628,103.707422156902,695 JURONG WEST CENTRAL 1 SINGAPORE 640695
4161603,810.0,640695,1.34256318025628,103.707422156902,695 JURONG WEST CENTRAL 1 SINGAPORE 640695
4163101,6000.0,640513,1.34745759842817,103.719968013012,513 JURONG WEST STREET 52 WESTWOOD COURT SINGAPORE 640513
4163401,2280.0,640525,1.34731636202053,103.716329598595,525 JURONG WEST STREET 52 SINGAPORE 640525
4163801,280.0,640535,1.34942131073209,103.71701184524,535 JURONG WEST STREET 52 SINGAPORE 640535
4163901,1560.0,640535,1.34942131073209,103.71701184524,535 JURONG WEST STREET 52 SINGAPORE 640535
4164102,900.0,641653,1.3368913768574,103.696638809163,653A JURONG WEST STREET 61 SINGAPORE 641653
4164304,720.0,640605,1.33845797373748,103.699564382012,605 JURONG WEST STREET 62 SINGAPORE 640605
4165204,90.0,642678,1.34512819470515,103.703897417226,678B JURONG WEST STREET 64 EDELWEISS@JURONG SINGAPORE 642678
4165805,975.0,642657,1.33596098683449,103.700840300361,657B JURONG WEST STREET 65 SINGAPORE 642657
4165902,360.0,641659,1.33685014192095,103.702313572487,659A JURONG WEST STREET 65 SINGAPORE 641659
4166003,4125.0,642659,1.336907296624,103.701982068141,659B JURONG WEST STREET 65 SINGAPORE 642659
4166901,1500.0,640716,1.34405238853773,103.696709870352,716 JURONG WEST STREET 71 NANYANG SAPPHIRE SINGAPORE 640716
4169501,300.0,610327,1.33615146757288,103.722633358102,327 TAH CHING ROAD SINGAPORE 610327
4169901,1700.0,610181,1.33369206575684,103.721934875775,181 YUNG SHENG ROAD CORPORATION SPRING SINGAPORE 610181
